Name,Subtitle,Acceleration,TopSpeed,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,4.3,210,177,800.0,All Wheel Drive,5,135529.0,115000.0
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh ,5.6,225,147,680.0,Rear Wheel Drive,5,43560.0,40990.0
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh ,7.4,160,174,450.0,Front Wheel Drive,5,46500.0,39900.0
Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh ,7.4,160,176,550.0,Front Wheel Drive,5,49500.0,42900.0
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh ,4.7,205,190,510.0,All Wheel Drive,5,52500.0,45900.0
Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,10.9,160,182,410.0,Rear Wheel Drive,5,36950.0,32150.0
Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5,160,189,500.0,Rear Wheel Drive,5,47500.0,44990.0
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2,180,199,470.0,All Wheel Drive,5,53600.0,51370.0
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2,180,192,490.0,All Wheel Drive,5,55600.0,52870.0
Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.5,160,196,400.0,All Wheel Drive,7,60000.0,50000.0
Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,6.2,180,193,490.0,All Wheel Drive,5,50415.0,55540.0
Mercedes EQA 300 4MATIC,Battery Electric Vehicle |       66.5 kWh,7.7,160,190,420.0,All Wheel Drive,5,53538.0,
Mercedes EQA 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.0,160,190,420.0,All Wheel Drive,5,56216.0,
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,243,250.0,Front Wheel Drive,7,58530.0,
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1,130,250,240.0,Front Wheel Drive,7,59385.0,
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1,130,252,290.0,Front Wheel Drive,7,64530.0,
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle |       68 kWh ,13.1,130,252,290.0,Front Wheel Drive,7,65385.0,
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,7.3,160,166,440.0,Rear Wheel Drive,5,36770.0,30500.0
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,6.6,160,168,430.0,Rear Wheel Drive,5,39000.0,31500.0
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,7.0,160,171,550.0,Rear Wheel Drive,5,43000.0,42000.0
BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,3.9,225,179,630.0,All Wheel Drive,5,69900.0,63905.0
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,4.9,180,221,440.0,All Wheel Drive,5,59250.0,49950.0
Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh ,8.0,160,179,480.0,Front Wheel Drive,5,38000.0,32500.0
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7,135,225,270.0,Front Wheel Drive,7,37590.0,30375.0
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7,135,231,260.0,Front Wheel Drive,7,42590.0,32455.0
MG Marvel R ,Battery Electric Vehicle |       65 kWh ,7.9,200,191,390.0,Rear Wheel Drive,5,40000.0,
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,4.4,233,155,820.0,All Wheel Drive,5,53560.0,
MG MG5 EV Long Range,Battery Electric Vehicle |       57 kWh ,7.7,185,168,340.0,Front Wheel Drive,5,,26495.0
Audi Q4 e-tron 45 quattro,Battery Electric Vehicle |       76.6 kWh,6.9,180,199,470.0,All Wheel Drive,5,50900.0,
Audi Q4 Sportback e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5,160,180,520.0,Rear Wheel Drive,5,49500.0,
